price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
269.900 kr.;2020;56000;2019-10-09;Benzin;19;200;A
344.900 kr.;2022;10000;2022-04-26;Benzin;17.5;207;A
209.900 kr.;2020;75500;2020-09-28;Benzin;23.4;115;A
284.900 kr.;2022;2000;2021-08-18;Benzin;21.6;110;A
129.900 kr.;2016;91000;2016-03-31;Benzin;21.3;90;M
139.900 kr.;2016;52000;2016-03-22;Benzin;24.4;95;M
199.900 kr.;2022;17000;2022-01-03;Benzin;21.6;80;M
179.800 kr.;2016;56000;2015-10-19;Benzin;21.3;150;A
174.800 kr.;2017;85000;2017-03-01;Benzin;21.3;150;A
149.999 kr.;2017;130000;2017-03-01;Benzin;20.8;150;A
164.900 kr.;2018;100000;2018-01-18;Benzin;21.7;115;M
184.500 kr.;2020;51000;2019-11-26;Benzin;22.9;95;A
109.990 kr.;2016;190000;2015-11-27;Diesel;29.4;90;M
138.900 kr.;2017;73886;2017-01-05;Benzin;24.4;95;M
149.900 kr.;2018;61000;2018-03-07;Benzin;20.8;75;M
79.900 kr.;2016;195000;2015-11-14;Benzin;24.4;95;M
274.700 kr.;2020;9900;2020-04-08;Benzin;19;200;A
159.995 kr.;2019;38000;2019-10-18;Benzin;22.9;80;M
53.000 kr.;2011;200000;2011-02-01;Diesel;29.4;75;M
114.800 kr.;2017;80000;2017-01-16;Benzin;24.4;95;M
14.900 kr.;2000;181000;2000-02-25;Benzin;17.4;50;M
109.900 kr.;2015;105000;2015-05-07;Benzin;24.4;95;M
269.900 kr.;2018;36000;2018-09-12;Benzin;16.9;200;A
180.000 kr.;2017;92000;2017-05-01;Benzin;20.8;150;A
149.800 kr.;2015;134000;2014-11-11;Benzin;21.3;150;A
189.980 kr.;2018;50600;2018-07-31;Benzin;21.7;95;A
96.900 kr.;2012;87000;2012-03-22;Benzin;19.6;90;M
99.500 kr.;2016;0;2016-06-29;Diesel;28.6;90;A
194.900 kr.;2019;82200;2019-06-19;Diesel;28.2;95;A
170.000 kr.;2018;65000;2018-01-01;Benzin;21.7;95;A
254.900 kr.;2019;28000;2019-04-05;Benzin;21.6;150;A
239.900 kr.;2022;7385;2022-02-17;Benzin;23.3;95;M
349.900 kr.;2022;2000;2022-04-27;Benzin;17.5;207;A
75.000 kr.;2010;147000;2010-03-01;Diesel;23.3;90;A
149.898 kr.;2016;92000;2015-12-01;Benzin;21.3;150;A
69.900 kr.;2014;178000;2013-09-01;Benzin;19.6;90;M
119.999 kr.;2016;83000;2015-09-15;Benzin;24.4;95;M
349.900 kr.;2022;4000;2022-04-26;Benzin;17.5;207;A
189.900 kr.;2018;94000;2018-03-22;Benzin;21.3;115;A
184.900 kr.;2018;66000;2017-10-05;Benzin;22.2;95;M
104.500 kr.;2015;104000;2014-06-27;Benzin;21.3;90;M
74.800 kr.;2011;117000;2011-09-30;Benzin;16.9;85;M
239.800 kr.;2019;64000;2019-04-25;Benzin;21.6;150;A
124.900 kr.;2017;137000;2017-01-12;Benzin;21.3;90;M
89.800 kr.;2014;146000;2014-03-05;Benzin;19.6;90;M
174.900 kr.;2019;28000;2018-10-03;Benzin;22.7;95;M
134.900 kr.;2016;70000;2016-06-01;Benzin;21.3;90;M
49.800 kr.;2010;199000;2010-09-01;Benzin;16.9;85;M
209.900 kr.;2019;52000;2019-08-23;Benzin;22.9;115;A
219.900 kr.;2020;9000;2020-04-16;Benzin;23.4;115;M
259.000 kr.;2022;11000;2022-05-06;Benzin;21.6;95;A
9.900 kr.;2002;324000;2002-07-10;Benzin;15.5;75;M
239.900 kr.;2022;8000;2022-01-13;Benzin;22;95;A
124.900 kr.;2016;103000;2016-07-19;Benzin;21.3;90;M
239.900 kr.;2022;16000;2021-12-27;Benzin;22;95;A
269.900 kr.;2022;26000;2021-10-19;Benzin;20.9;110;A
254.800 kr.;2022;11000;2021-09-28;Benzin;21.6;110;A
344.900 kr.;2022;5000;2022-04-26;Benzin;17.5;207;A
149.900 kr.;2016;59000;2016-01-21;Benzin;21.3;90;A
104.900 kr.;2016;193000;2015-08-17;Benzin;20.8;110;M
279.900 kr.;2019;29000;2019-10-03;Benzin;18;200;A
299.900 kr.;2019;49000;2019-02-24;Benzin;17.7;200;A
209.900 kr.;2019;44000;2019-02-25;Benzin;23.4;95;A
56.900 kr.;2011;232000;2011-07-29;Diesel;27;90;M
100.001 kr.;2015;148000;2015-04-01;Benzin;21.3;90;M
120.000 kr.;2017;73000;2017-09-01;Benzin;23.8;95;M
89.900 kr.;2015;163000;2015-05-01;Benzin;21.3;90;M
61.900 kr.;2011;153000;2011-06-16;Diesel;26.3;75;M
214.900 kr.;2019;18000;2018-12-13;Benzin;22.9;115;A
119.800 kr.;2013;82000;2013-04-16;Benzin;19.6;90;M
139.900 kr.;2017;69000;2017-07-04;Benzin;21.3;90;M
214.800 kr.;2020;9000;2019-10-08;Benzin;22.9;115;A
175.000 kr.;2019;90000;2019-02-01;Benzin;22.9;115;A
129.900 kr.;2015;70000;2015-04-23;Benzin;20.8;110;M
230.000 kr.;2020;58000;2019-12-19;Benzin;18;200;A
184.900 kr.;2018;109000;2018-04-06;Benzin;21.3;115;A
184.900 kr.;2018;105000;2018-04-01;Benzin;21.3;115;A
144.900 kr.;2018;162000;2018-02-23;Diesel;27;95;M
189.900 kr.;2016;101000;2015-08-25;Benzin;17.9;192;M
147.900 kr.;2017;140000;2017-03-03;Diesel;28.6;90;A
254.900 kr.;2019;48000;2019-07-22;Benzin;18;200;A
139.900 kr.;2017;46785;2017-03-30;Benzin;23.8;95;M
174.900 kr.;2019;45000;2019-05-29;Benzin;23.9;95;M
149.500 kr.;2016;112000;2015-09-29;Benzin;20.8;150;M
89.800 kr.;2015;153000;2015-05-18;Benzin;21.3;90;M
187.900 kr.;2018;95000;2018-08-21;Diesel;25.6;95;A
349.900 kr.;2022;2000;2022-04-20;Benzin;17.5;207;A
149.900 kr.;2018;67000;2018-04-24;Benzin;20.8;75;M
119.900 kr.;2017;107000;2016-07-27;Benzin;23.8;95;M
260.000 kr.;2020;30000;2020-02-04;Benzin;18;200;A
199.900 kr.;2019;25000;2019-06-26;Benzin;23.4;95;A
154.900 kr.;2018;67500;2018-06-28;Benzin;22.7;95;M
270.000 kr.;2019;17000;2019-01-28;Benzin;18;200;A
189.900 kr.;2020;5000;2020-05-27;Benzin;23.9;95;M
199.900 kr.;2021;7000;2021-01-27;Benzin;22.8;95;M
189.700 kr.;2019;93000;2019-02-22;Diesel;25.6;95;A
339.900 kr.;2022;1500;2022-04-28;Benzin;17.5;207;A
74.999 kr.;2012;120000;2011-10-17;Benzin;16.9;85;M
194.900 kr.;2019;63000;2019-04-29;Benzin;22.9;115;A
