price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
329.900 kr.;2019;166000;2019-04-29;Diesel;23.9;194;A
309.900 kr.;2017;97000;2018-02-07;Diesel;22.7;170;A
309.800 kr.;2017;142000;2018-04-30;Diesel;21.7;170;A
29.900 kr.;2005;338000;2005-01-04;Benzin;12.7;143;M
579.900 kr.;2022;23000;2021-08-02;Diesel;26.9;200;A
419.900 kr.;2021;62000;2020-08-19;Plug-in hybrid Diesel;32.2;306;A
604.900 kr.;2022;7000;2022-04-12;Plug-in hybrid Benzin;41.9;313;A
414.900 kr.;2020;85000;2020-02-01;Plug-in hybrid Diesel;32.2;306;A
689.900 kr.;2022;4000;2022-03-03;Benzin;18.1;258;A
124.900 kr.;2014;325000;2013-08-19;Diesel;20;136;A
579.900 kr.;2022;11000;2022-04-01;Plug-in hybrid Benzin;41.9;313;A
359.800 kr.;2017;78000;2017-08-11;Plug-in hybrid Benzin;26.8;279;A
679.900 kr.;2022;8000;2022-03-30;Diesel;24.2;200;A
559.900 kr.;2022;13000;2021-09-29;Benzin;18.3;204;A
604.900 kr.;2022;16000;2022-04-11;Plug-in hybrid Benzin;41.9;313;A
549.900 kr.;2022;12000;2021-08-24;Benzin;18.3;204;A
564.900 kr.;2022;7000;2021-10-13;Benzin;18.3;204;A
519.900 kr.;2022;12000;2021-10-12;Benzin;18.9;204;A
519.800 kr.;2022;9000;2021-09-20;Benzin;18.9;204;A
614.900 kr.;2022;22000;2021-07-12;Diesel;25.7;200;A
319.900 kr.;2017;91000;2017-03-17;Diesel;22.7;170;A
394.900 kr.;2019;143000;2019-05-29;Diesel;23.4;194;A
479.990 kr.;2021;25000;2020-10-02;Plug-in hybrid Benzin;31.1;320;A
329.900 kr.;2018;158000;2018-04-30;Diesel;21.3;170;A
664.900 kr.;2022;16000;2022-03-21;Plug-in hybrid Benzin;40.6;313;A
644.900 kr.;2022;24000;2021-12-15;Plug-in hybrid Benzin;40.6;313;A
334.900 kr.;2018;127000;2018-12-18;Diesel;22.9;194;A
579.900 kr.;2017;53000;2017-04-04;Benzin;14.9;245;A
534.800 kr.;2022;15000;2021-08-23;Diesel;25.7;200;A
314.900 kr.;2017;93000;2018-02-28;Diesel;22.7;170;A
534.800 kr.;2022;15000;2021-09-29;Diesel;25.7;200;A
599.900 kr.;2022;11000;2021-09-22;Diesel;23.3;265;A
564.900 kr.;2021;15000;2021-09-24;Benzin;18.3;204;A
314.900 kr.;2017;90000;2017-07-06;Diesel;21.7;170;A
799.900 kr.;2018;50000;2018-02-14;Benzin;12.8;367;A
529.900 kr.;2021;6000;2021-08-23;Benzin;18.3;204;A
514.900 kr.;2021;6000;2021-10-12;Benzin;18.6;184;A
499.900 kr.;2019;34000;2019-02-13;Benzin;21.6;258;A
699.900 kr.;2022;11000;2022-04-13;Diesel;24.2;200;A
237.900 kr.;2017;70000;2016-10-13;Diesel;20.8;204;A
106.900 kr.;2008;232000;2008-06-10;Benzin;10.6;231;A
269.269 kr.;2015;120000;2014-12-22;Diesel;23.2;170;A
359.900 kr.;2019;78000;2019-05-27;Diesel;23.9;194;A
479.800 kr.;2020;35000;2020-10-28;Plug-in hybrid Diesel;31.6;306;A
629.900 kr.;2017;79000;2016-08-24;Benzin;12.7;367;A
599.500 kr.;2022;28000;2022-03-31;Plug-in hybrid Benzin;40.6;313;A
459.900 kr.;2021;41000;2020-10-08;Plug-in hybrid Benzin;31.1;320;A
264.990 kr.;2011;134020;2011-09-29;Benzin;8.8;487;A
654.900 kr.;2022;14000;2021-08-31;Diesel;26.9;200;A
379.800 kr.;2019;86000;2019-05-31;Benzin;17.2;184;A
265.000 kr.;2015;126800;2015-09-23;Benzin;11.9;510;A
664.900 kr.;2022;22000;2022-03-11;Plug-in hybrid Benzin;40.6;313;A
654.900 kr.;2022;19000;2022-03-01;Plug-in hybrid Benzin;40.6;313;A
324.800 kr.;2018;104000;2018-03-28;Diesel;22.7;170;A
224.900 kr.;2015;209000;2015-03-02;Diesel;22.2;170;A
389.980 kr.;2020;71000;2020-07-09;Diesel;21.7;194;A
219.900 kr.;2015;189000;2014-12-16;Diesel;23.3;136;M
144.500 kr.;2012;240000;2012-07-27;Diesel;19.6;170;A
429.800 kr.;2020;75000;2019-08-30;Diesel;24.4;194;A
629.900 kr.;2022;20000;2021-12-15;Plug-in hybrid Benzin;40.6;313;A
109.900 kr.;2013;267000;2013-04-22;Diesel;20.8;120;M
259.900 kr.;2017;100000;2016-11-17;Benzin;13;333;A
329.700 kr.;2016;39000;2016-05-02;Benzin;17.9;184;A
549.995 kr.;2017;116000;2017-04-11;Diesel;20.4;170;A
139.800 kr.;2010;127000;2010-04-26;Benzin;13.3;184;A
279.900 kr.;2017;175000;2016-10-26;Diesel;22.7;170;A
659.900 kr.;2022;15000;2022-04-07;Plug-in hybrid Benzin;40.6;313;A
479.900 kr.;2021;19000;2021-01-18;Plug-in hybrid Benzin;31.1;320;A
659.900 kr.;2022;10000;2022-04-26;Plug-in hybrid Benzin;40.6;313;A
279.500 kr.;2017;185000;2017-11-10;Diesel;21.7;170;A
349.800 kr.;2015;118000;2015-10-09;Plug-in hybrid Benzin;30.2;279;A
579.900 kr.;2022;23000;2021-06-17;Diesel;26.9;200;A
539.900 kr.;2021;35000;2021-06-23;Diesel;25;194;A
564.900 kr.;2022;7000;2021-06-16;Diesel;25.7;200;A
329.900 kr.;2016;125000;2015-12-23;Benzin;11.9;510;A
399.900 kr.;2019;69000;2019-04-04;Benzin;18.3;184;A
199.900 kr.;2014;195000;2014-06-27;Diesel;25;170;M
379.900 kr.;2019;91000;2019-01-14;Diesel;22.9;194;A
549.800 kr.;2022;14000;2021-09-16;Diesel;26.9;200;A
124.800 kr.;2007;93000;2007-09-17;Benzin;13;156;A
594.900 kr.;2022;10000;2021-09-29;Diesel;26.9;200;A
574.900 kr.;2022;17000;2021-09-28;Diesel;26.9;200;A
599.900 kr.;2022;6000;2021-06-16;Diesel;26.9;200;A
319.900 kr.;2017;101000;2017-07-21;Diesel;21.7;170;A
299.700 kr.;2015;249000;2015-06-17;Diesel;19.2;204;A
549.800 kr.;2022;15000;2021-10-12;Diesel;26.9;200;A
339.900 kr.;2017;132600;2017-12-29;Diesel;21.3;170;A
279.780 kr.;2016;116000;2016-03-07;Diesel;20;170;A
659.900 kr.;2022;7000;2022-03-04;Plug-in hybrid Benzin;40.6;313;A
664.900 kr.;2022;7000;2022-02-25;Plug-in hybrid Benzin;40.6;313;A
604.900 kr.;2022;11000;2022-04-13;Plug-in hybrid Benzin;41.9;313;A
89.900 kr.;2009;202000;2009-10-20;Diesel;15.4;136;A
584.900 kr.;2022;15000;2022-03-04;Benzin;18.3;204;A
484.900 kr.;2020;24000;2020-07-29;Diesel;25;194;A
649.900 kr.;2022;19000;2022-01-21;Plug-in hybrid Benzin;40.6;313;A
349.900 kr.;2020;100000;2019-08-30;Diesel;22.9;194;A
564.900 kr.;2022;13000;2021-12-03;Benzin;18.3;204;A
359.900 kr.;2020;89000;2019-08-15;Diesel;22.9;194;A
389.900 kr.;2019;38000;2019-05-05;Benzin;17.2;184;A
359.900 kr.;2019;172000;2019-04-01;Diesel;22.9;194;A
