price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
259.900 kr.;2021;20750;2021-04-28;Hybrid (Benzin + El);28.1;116;A
109.900 kr.;2015;138000;2016-11-15;Hybrid (Benzin + El);30.3;100;A
49.900 kr.;2009;80000;2009-04-29;Diesel;23.8;90;M
199.900 kr.;2021;30000;2020-12-16;Hybrid (Benzin + El);39.3;116;A
114.900 kr.;2017;101001;2018-02-23;Benzin;20.8;111;M
64.900 kr.;2012;259000;2012-10-29;Hybrid (Benzin + El);28.6;99;A
99.900 kr.;2017;96000;2016-12-15;Benzin;20.4;99;M
84.900 kr.;2015;81000;2015-02-27;Benzin;23.3;69;M
49.900 kr.;2008;168000;2008-03-10;Diesel;22.2;90;A
19.900 kr.;2004;269000;2004-07-01;Diesel;22.7;75;M
179.900 kr.;2020;32000;2020-02-27;Benzin;22.4;111;A
9.900 kr.;2007;280000;2007-07-17;Diesel;22.2;90;M
114.900 kr.;2018;79000;2018-01-30;Benzin;23.3;69;M
139.900 kr.;2019;47000;2019-03-11;Benzin;23.4;72;M
17.900 kr.;2003;145000;2003-11-21;Benzin;17.9;68;M
144.900 kr.;2018;76360;2018-06-28;Hybrid (Benzin + El);30.3;100;A
129.800 kr.;2017;85000;2017-01-18;Hybrid (Benzin + El);30.3;100;A
99.800 kr.;2017;53000;2017-09-27;Benzin;23.3;69;M
159.900 kr.;2019;42557;2019-03-28;Benzin;21.6;111;M
79.800 kr.;2014;160000;2014-12-12;Diesel;26.3;90;M
239.900 kr.;2021;57700;2021-06-03;Hybrid (Benzin + El);29.5;116;A
114.900 kr.;2018;64509;2018-05-11;Benzin;23.3;69;M
84.995 kr.;2011;65000;2014-05-27;Benzin;20.8;69;M
109.800 kr.;2017;130000;2016-11-17;Hybrid (Benzin + El);27.8;100;A
159.900 kr.;2019;26000;2019-03-29;Hybrid (Benzin + El);27;100;A
94.900 kr.;2015;179000;2016-08-30;Hybrid (Benzin + El);30.3;100;A
64.800 kr.;2013;196303;2012-08-02;Benzin;18.5;99;M
169.800 kr.;2020;29000;2020-07-01;Benzin;21.6;111;M
159.900 kr.;2020;17947;2021-03-08;Benzin;23.9;72;M
124.900 kr.;2016;86000;2016-05-12;Hybrid (Benzin + El);30.3;100;A
159.900 kr.;2018;75000;2019-06-26;Hybrid (Benzin + El);27;100;A
114.900 kr.;2015;146000;2015-09-28;Hybrid (Benzin + El);30.3;100;A
99.000 kr.;2014;130000;2014-11-27;Hybrid (Benzin + El);30.3;100;A
82.900 kr.;2015;114000;2017-03-02;Benzin;23.3;69;M
174.900 kr.;2019;40000;2019-01-14;Hybrid (Benzin + El);29.7;100;A
19.800 kr.;2005;229000;2005-08-08;Benzin;17.9;68;M
69.800 kr.;2012;64000;2012-05-05;Benzin;18.5;99;M
70.000 kr.;2012;70000;2012-05-01;Benzin;18.5;99;M
98.500 kr.;2017;92000;2017-02-01;Benzin;19.6;99;M
189.900 kr.;2020;14250;2021-08-17;Benzin;22.9;125;M
59.800 kr.;2014;194000;2014-10-14;Benzin;20.8;69;M
169.900 kr.;2019;39500;2019-10-30;Hybrid (Benzin + El);27;100;A
84.900 kr.;2012;35000;2012-10-30;Benzin;18.5;99;M
63.000 kr.;2014;174000;2014-07-17;Benzin;20.8;69;M
124.900 kr.;2018;29175;2018-05-11;Benzin;23.3;69;M
124.900 kr.;2018;29280;2018-05-11;Benzin;23.3;69;M
109.900 kr.;2014;162000;2014-11-14;Hybrid (Benzin + El);30.3;100;A
129.900 kr.;2017;87000;2016-12-27;Hybrid (Benzin + El);30.3;100;A
219.900 kr.;2021;29875;2021-06-11;Hybrid (Benzin + El);31.8;116;A
154.900 kr.;2017;59000;2018-05-22;Hybrid (Benzin + El);30.3;100;A
119.900 kr.;2017;70902;2017-07-13;Benzin;20.8;111;M
174.900 kr.;2018;54671;2018-11-08;Hybrid (Benzin + El);27;100;A
164.900 kr.;2019;55500;2019-11-04;Hybrid (Benzin + El);27;100;A
101.999 kr.;2015;130000;2015-01-01;Hybrid (Benzin + El);30.3;100;A
24.900 kr.;2007;210000;2007-09-01;Diesel;22.2;90;M
114.900 kr.;2018;65642;2018-05-11;Benzin;23.3;69;M
53.900 kr.;2012;183000;2012-09-10;Benzin;20.8;69;M
99.800 kr.;2015;115000;2017-01-16;Benzin;23.3;69;M
59.900 kr.;2010;90000;2010-01-05;Benzin;19.6;100;M
84.900 kr.;2016;123000;2016-06-30;Benzin;23.3;69;M
134.900 kr.;2017;63000;2017-10-13;Benzin;20.8;111;M
108.900 kr.;2015;144000;2016-08-30;Hybrid (Benzin + El);30.3;100;A
54.700 kr.;2013;163000;2013-01-07;Diesel;25.6;90;M
184.900 kr.;2021;15000;2021-12-05;Benzin;24.2;125;M
123.000 kr.;2015;64000;2016-06-01;Hybrid (Benzin + El);30.3;100;A
105.000 kr.;2015;88000;2015-11-01;Hybrid (Benzin + El);30.3;100;A
139.900 kr.;2016;39000;2016-05-17;Hybrid (Benzin + El);27.8;100;A
79.800 kr.;2012;135000;2012-07-01;Hybrid (Benzin + El);28.6;99;A
34.800 kr.;2011;342000;2011-01-14;Benzin;19.2;100;M
159.000 kr.;2018;63000;2018-12-01;Hybrid (Benzin + El);27;100;A
99.900 kr.;2016;55000;2016-04-26;Benzin;23.3;69;M
67.500 kr.;2011;63000;2011-02-03;Benzin;19.2;100;M
172.900 kr.;2019;44546;2019-04-23;Benzin;21.6;111;M
107.900 kr.;2016;128000;2016-07-26;Hybrid (Benzin + El);30.3;100;A
159.900 kr.;2020;7582;2021-04-06;Benzin;23.9;72;M
219.900 kr.;2022;6417;2022-01-03;Benzin;23.3;125;M
