price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
399.900 kr.;2020;63000;2019-12-05;El;66.5;513;A;5210
349.900 kr.;2021;12000;2021-12-13;El;77.8;325;A;5250
394.800 kr.;2020;29000;2020-09-23;El;66.5;513;A;8766
345.000 kr.;2020;46000;2020-09-01;El;69;442;A;4000
349.900 kr.;2020;69000;2020-05-13;El;69;491;A;8800
369.900 kr.;2022;10500;2022-04-11;El;76.7;325;A;4600
325.000 kr.;2019;80000;2019-09-01;El;66.5;490;A;8660
310.000 kr.;2020;24000;2020-12-01;El;74.1;325;A;2300
429.900 kr.;2021;7000;2021-11-04;El;75.1;498;A;6800
355.000 kr.;2022;8000;2022-03-14;El;76.7;325;A;6400
415.000 kr.;2021;18000;2021-05-12;El;75.1;498;A;6400
369.000 kr.;2022;6000;2022-02-01;El;74.1;283;A;7430
419.900 kr.;2019;14000;2019-10-15;El;66.5;490;A;2750
454.000 kr.;2022;0;2022-10-05;El;74.1;283;A;2630
369.800 kr.;2019;73000;2019-05-24;El;74.1;306;A;4700
379.995 kr.;2021;24000;2021-12-07;El;75.1;498;A;2765
379.800 kr.;2022;14000;2022-03-29;El;76.7;325;A;6900
445.000 kr.;2022;18000;2022-02-01;El;66.9;513;A;9700
334.900 kr.;2021;47000;2021-03-01;El;77.8;283;A;6000
319.000 kr.;2019;30000;2019-06-01;El;69;462;A;8250
354.900 kr.;2022;15000;2022-03-30;El;74.1;283;A;3460
355.500 kr.;2022;7000;2022-03-01;El;76.7;325;A;7400
314.900 kr.;2020;35000;2020-08-17;El;74.1;325;A;7400
369.900 kr.;2020;63600;2020-02-20;El;69;498;A;6500
418.800 kr.;2022;19900;2021-12-01;El;75.1;498;A;2670
349.900 kr.;2021;18000;2021-12-21;El;77.8;325;A;2860
328.900 kr.;2021;26000;2021-05-19;El;77.8;325;A;8250
409.800 kr.;2021;17000;2021-09-22;El;75.1;498;A;6400
389.900 kr.;2022;7000;2022-03-03;El;76.7;325;A;8920
419.900 kr.;2021;8000;2021-11-18;El;75.1;498;A;5250
354.800 kr.;2022;13000;2022-03-01;El;74.1;283;A;9400
412.700 kr.;2021;8425;2021-12-09;El;75.1;498;A;9000
439.990 kr.;2022;8000;2022-02-17;El;75.1;498;A;8700
464.900 kr.;2022;19000;2021-12-21;El;75.1;498;A;2670
445.900 kr.;2022;21000;2022-04-08;El;75.1;498;A;2670
457.000 kr.;2021;19200;2021-12-15;El;66.9;513;A;9000
359.700 kr.;2021;17000;2021-10-18;El;77.8;325;A;9000
416.000 kr.;2020;38000;2020-10-01;El;66.5;513;A;8230
355.000 kr.;2021;63000;2021-03-01;El;75.1;498;A;5800
377.000 kr.;2020;45000;2020-09-28;El;69;498;A;2630
339.500 kr.;2022;15000;2021-12-15;El;76.7;325;A;5270
342.995 kr.;2022;18000;2022-04-21;El;74.1;283;A;2765
335.995 kr.;2022;14000;2022-03-18;El;74.1;283;A;2765
359.800 kr.;2021;11400;2021-08-30;El;77.8;325;A;2670
389.600 kr.;2020;54001;2020-01-02;El;66.5;490;A;2670
299.500 kr.;2020;31000;2020-12-08;El;74.1;325;A;8260
304.900 kr.;2020;47000;2020-06-25;El;74.1;283;A;8920
319.900 kr.;2019;69200;2019-06-17;El;75.1;283;A;2670
429.900 kr.;2022;16500;2022-03-11;El;75.1;498;A;8361
299.000 kr.;2020;35000;2020-12-01;El;74.1;283;A;8600
419.900 kr.;2021;12000;2021-12-09;El;75.1;498;A;6000
314.900 kr.;2020;28000;2020-12-18;El;74.1;325;A;6000
319.900 kr.;2019;97939;2019-07-26;El;69;491;A;2670
339.000 kr.;2020;81000;2020-03-01;El;66.5;513;A;6200
359.800 kr.;2022;6800;2022-02-24;El;76.7;325;A;6950
409.800 kr.;2021;25000;2021-09-20;El;75.1;498;A;6400
419.800 kr.;2022;12000;2022-02-24;El;75.1;498;A;6400
319.900 kr.;2021;49000;2021-03-11;El;77.8;325;A;5762
284.900 kr.;2019;94000;2019-09-24;El;74.1;306;A;2200
384.900 kr.;2022;36000;2021-08-01;El;75.1;498;A;8361
385.000 kr.;2021;14000;2021-12-10;El;77.8;325;A;2610
385.000 kr.;2021;10000;2022-03-02;El;77.8;325;A;2610
423.000 kr.;2022;13000;2022-03-01;El;75.1;498;A;5853
424.900 kr.;2022;12500;2022-03-23;El;66.9;513;A;8361
448.900 kr.;2022;17500;2022-03-25;El;75.1;498;A;2670
446.900 kr.;2022;21000;2022-04-20;El;75.1;498;A;2670
454.900 kr.;2022;7000;2022-03-31;El;75.1;498;A;2670
355.000 kr.;2022;12500;2022-05-31;El;74.1;283;A;7400
390.000 kr.;2020;62000;2020-09-01;El;66.5;513;A;8960
334.900 kr.;2021;12000;2021-09-27;El;77.8;325;A;2610
428.000 kr.;2021;11590;2021-09-02;El;75.1;498;A;9000
415.000 kr.;2021;17000;2021-11-18;El;75.1;498;A;6400
424.900 kr.;2021;14000;2021-09-23;El;75.1;498;A;2670
409.800 kr.;2021;14000;2021-11-15;El;75.1;498;A;6400
365.000 kr.;2020;38000;2020-08-01;El;69;498;A;4100
