price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
254.800 kr.;2022;5000;2022-04-29;Benzin;21.6;95;A;4000
214.800 kr.;2021;17000;2021-05-26;Benzin;21.6;95;A;4000
129.800 kr.;2016;55000;2016-01-22;Benzin;24.4;95;M;4600
205.950 kr.;2019;39000;2019-05-28;Benzin;23.4;95;A;8600
68.600 kr.;2014;180000;2014-06-24;Diesel;29.4;75;M;4000
2.995 kr.;2012;135000;2012-01-01;Diesel;29.4;75;M;8620
127.500 kr.;2015;88000;2014-11-26;Benzin;20.8;110;M;4733
229.900 kr.;2020;41000;2020-10-30;Benzin;23.4;115;A;9800
348.900 kr.;2022;2000;2022-10-18;Benzin;17.5;207;A;6400
86.000 kr.;2015;195000;2015-04-01;Diesel;29.4;90;M;5500
179.900 kr.;2018;53000;2018-05-01;Benzin;21.7;95;A;2400
59.999 kr.;2012;264000;2012-08-01;Diesel;27;90;M;4840
89.900 kr.;2014;114000;2013-12-03;Benzin;19.6;90;M;8300
69.900 kr.;2011;84000;2011-11-01;Benzin;18.2;60;M;2450
94.900 kr.;2016;173000;2016-04-25;Benzin;21.3;90;M;7250
234.900 kr.;2019;40000;2019-02-19;Benzin;22.9;115;A;5200
259.000 kr.;2022;11000;2022-04-27;Benzin;21.6;95;A;4000
87.600 kr.;2015;179000;2015-07-17;Diesel;32.3;75;M;4000
149.900 kr.;2017;90000;2016-08-30;Benzin;21.3;90;A;5200
174.900 kr.;2019;50000;2019-04-10;Benzin;23.9;95;M;7160
139.900 kr.;2017;57000;2017-05-01;Benzin;24.4;95;M;4600
159.900 kr.;2018;76000;2018-07-20;Benzin;22.7;95;M;6000
184.900 kr.;2019;54000;2019-07-04;Benzin;23.4;95;A;6800
214.900 kr.;2020;51000;2020-10-08;Benzin;23.4;115;A;4700
279.900 kr.;2022;13500;2021-08-26;Benzin;21.6;110;A;3600
174.900 kr.;2020;67000;2020-03-30;Benzin;23.9;95;M;7160
189.900 kr.;2020;73000;2019-11-14;Benzin;22.9;115;M;8600
164.900 kr.;2019;67000;2019-08-22;Benzin;23.9;95;M;7160
79.500 kr.;2010;159000;2010-01-07;Diesel;23.8;90;M;6270
204.900 kr.;2018;62400;2018-07-05;Benzin;21.3;115;A;3700
169.900 kr.;2019;55000;2019-08-09;Benzin;23.9;95;M;7160
164.900 kr.;2018;58000;2017-11-28;Benzin;22.7;95;M;6200
199.900 kr.;2019;62100;2019-06-04;Diesel;28.2;95;A;4600
159.900 kr.;2018;70000;2018-01-12;Benzin;22.7;95;M;2600
147.900 kr.;2017;59000;2017-06-15;Diesel;27;90;M;7000
58.000 kr.;2011;255000;2011-06-01;Diesel;27;105;M;8541
264.900 kr.;2020;31000;2020-03-03;Benzin;18;200;A;2605
189.900 kr.;2019;88000;2019-05-24;Diesel;28.2;95;A;7160
139.900 kr.;2016;114000;2015-08-26;Benzin;20.8;150;M;4300
84.900 kr.;2013;117000;2013-03-26;Benzin;19.2;70;M;4293
214.900 kr.;2018;17000;2018-02-23;Benzin;22.7;95;M;2650
224.900 kr.;2019;77000;2019-04-24;Benzin;22.9;115;A;4300
124.900 kr.;2016;132000;2015-10-06;Diesel;28.6;90;A;6270
184.900 kr.;2019;108000;2019-04-16;Diesel;28.2;95;A;7160
169.900 kr.;2018;51000;2018-07-05;Benzin;22.7;95;M;5210
55.000 kr.;2011;201000;2011-10-01;Diesel;29.4;75;M;4000
105.000 kr.;2016;105000;2015-08-01;Benzin;24.4;95;M;8781
199.800 kr.;2020;28000;2019-11-05;Benzin;22.9;95;A;3400
209.800 kr.;2020;32000;2019-10-21;Benzin;22.9;115;A;3390
159.000 kr.;2019;125000;2019-04-01;Diesel;28.2;95;A;3460
349.900 kr.;2022;1000;2022-09-01;Benzin;17.5;207;A;8700
99.000 kr.;2017;186000;2017-02-01;Diesel;29.4;90;M;7950
200.000 kr.;2019;56000;2019-06-17;Benzin;23.4;95;A;7900
34.500 kr.;1991;176000;1991-07-05;Benzin;15.4;45;M;6400
167.800 kr.;2019;86000;2019-05-29;Diesel;29.7;95;M;8260
79.900 kr.;2015;179000;2015-01-01;Diesel;29.4;90;M;2650
209.900 kr.;2020;30000;2020-01-30;Benzin;22.9;115;A;4700
239.000 kr.;2022;8000;2022-05-06;Benzin;23.3;95;M;9900
174.900 kr.;2019;60000;2019-01-31;Benzin;23.9;95;M;7160
265.000 kr.;2022;8000;2022-05-06;Benzin;21.6;95;A;9900
179.900 kr.;2019;26000;2019-08-27;Benzin;23.9;95;M;9400
149.900 kr.;2017;90500;2016-10-12;Benzin;21.3;90;A;8700
119.800 kr.;2017;113000;2016-10-05;Benzin;24.4;95;M;4000
134.900 kr.;2017;55000;2017-05-29;Benzin;23.8;95;M;4700
81.900 kr.;2017;215000;2017-04-01;Diesel;27;90;M;4880
21.900 kr.;2002;127000;2002-03-18;Benzin;15.5;75;M;4300
349.900 kr.;2022;8000;2022-04-26;Benzin;17.5;207;A;6800
189.900 kr.;2020;41000;2020-01-06;Benzin;23.9;95;M;7160
119.900 kr.;2016;85000;2016-11-24;Benzin;24.4;95;M;8600
229.000 kr.;2021;20500;2021-04-20;Benzin;21.2;110;A;9000
184.900 kr.;2021;10000;2021-07-29;Benzin;23.4;80;M;6200
259.900 kr.;2020;14000;2020-03-26;Benzin;18;200;A;4600
172.000 kr.;2019;33000;2019-08-01;Benzin;23.9;95;M;2960
200.000 kr.;2020;37000;2020-11-01;Benzin;23.4;115;A;6710
79.900 kr.;2011;129000;2011-04-01;Benzin;18.9;105;M;8270
85.000 kr.;2015;137000;2014-08-01;Benzin;20.8;110;M;2770
159.900 kr.;2017;95000;2017-05-17;Benzin;20.8;150;M;3540
156.000 kr.;2016;131000;2016-05-01;Benzin;21.3;150;A;6330
100.000 kr.;2016;105000;2015-10-01;Benzin;24.4;95;M;9210
9.999 kr.;1995;207000;1995-06-23;Benzin;15.3;55;M;2730
63.000 kr.;2011;185000;2011-11-01;Benzin;16.9;85;M;2000
49.800 kr.;2013;292000;2013-06-01;Benzin;19.6;90;M;7120
174.900 kr.;2019;63000;2019-06-26;Benzin;23.9;95;M;7160
259.900 kr.;2019;35000;2019-01-01;Benzin;18;200;A;7100
349.900 kr.;2022;9000;2022-04-29;Benzin;17.5;207;A;2860
234.900 kr.;2022;23000;2021-11-11;Benzin;23.3;95;M;8960
200.000 kr.;2018;71000;2018-06-01;Benzin;21.3;115;A;9000
99.900 kr.;2014;94000;2013-12-08;Benzin;19.6;90;M;2770
149.500 kr.;2017;75000;2016-10-17;Benzin;23.8;95;A;9500
145.000 kr.;2017;92000;2016-11-01;Benzin;21.3;90;A;8000
189.900 kr.;2018;62000;2018-02-22;Benzin;21.7;95;A;4990
118.995 kr.;2014;156000;2014-03-01;Benzin;21.7;140;M;7600
74.900 kr.;2009;156000;2009-12-22;Diesel;23.8;75;M;7000
125.000 kr.;2014;136000;2013-07-01;Benzin;22.2;140;A;4200
239.900 kr.;2019;85500;2019-01-31;Benzin;18;200;A;6000
179.800 kr.;2020;41000;2020-08-05;Benzin;23.9;95;M;9400
259.800 kr.;2019;81000;2019-05-16;Benzin;18;200;A;4700
254.900 kr.;2019;64000;2019-01-17;Benzin;17.7;200;A;3300
189.900 kr.;2021;15000;2021-07-29;Benzin;23.4;80;M;6200
179.900 kr.;2018;78000;2018-01-23;Benzin;21.7;95;A;3400
49.900 kr.;2009;198000;2009-12-01;Benzin;18.2;70;M;8240
169.995 kr.;2017;42000;2017-03-01;Benzin;20.8;150;M;4050
229.900 kr.;2018;96000;2018-02-19;Benzin;16.9;200;A;4600
119.900 kr.;2015;134000;2015-06-22;Benzin;21.3;90;M;8722
119.800 kr.;2017;71000;2016-07-21;Benzin;21.3;90;M;9900
122.995 kr.;2015;74000;2014-09-02;Benzin;21.3;90;M;8700
194.900 kr.;2018;23500;2018-05-25;Benzin;21.7;115;M;2750
115.000 kr.;2017;82000;2017-04-01;Benzin;23.8;95;M;7120
122.500 kr.;2017;108000;2017-04-01;Benzin;23.8;95;M;8361
129.700 kr.;2017;87000;2017-02-17;Benzin;23.8;95;M;8722
157.900 kr.;2018;87000;2018-01-10;Benzin;22.7;95;M;7400
259.500 kr.;2020;76000;2019-10-02;Benzin;18;200;A;7500
89.990 kr.;2011;101000;2010-12-03;Benzin;18.9;105;M;6520
299.047 kr.;2022;15000;2021-09-01;Benzin;21.6;110;A;7900
154.900 kr.;2018;144000;2018-03-15;Diesel;27;95;M;8722
259.900 kr.;2018;31000;2018-07-05;Benzin;16.9;200;A;6000
79.900 kr.;2011;79900;2011-01-28;Benzin;18.2;60;M;8300
349.900 kr.;2022;6000;2022-04-27;Benzin;17.5;207;A;8500
89.000 kr.;2015;67000;2014-08-06;Benzin;20.8;75;M;2690
269.900 kr.;2022;6000;2021-08-26;Benzin;21.6;110;A;8700
164.700 kr.;2018;40000;2018-06-11;Benzin;22.7;95;M;8250
239.950 kr.;2020;22000;2019-10-03;Benzin;22.9;115;A;8600
269.800 kr.;2019;72000;2019-03-29;Benzin;18;200;A;7700
249.900 kr.;2018;65000;2018-08-10;Benzin;16.9;200;A;8600
204.900 kr.;2022;9000;2022-01-04;Benzin;21.6;80;M;9440
264.900 kr.;2022;9000;2021-11-23;Benzin;21.6;110;A;7900
199.900 kr.;2020;20000;2020-02-21;Benzin;23.4;95;A;7160
174.800 kr.;2019;45000;2019-07-01;Benzin;23.9;95;M;5210
204.900 kr.;2020;27000;2019-11-25;Benzin;23.4;95;A;5210
159.900 kr.;2020;100000;2019-11-28;Benzin;23.9;95;M;5210
204.800 kr.;2020;76000;2019-09-27;Benzin;22.9;115;A;5210
204.800 kr.;2020;38000;2019-09-27;Benzin;23.4;95;A;5210
194.800 kr.;2019;95000;2019-03-27;Diesel;28.2;95;A;5210
344.900 kr.;2022;10000;2022-04-26;Benzin;17.5;207;A;7900
209.900 kr.;2020;75500;2020-09-28;Benzin;23.4;115;A;7500
284.900 kr.;2022;2000;2021-08-18;Benzin;21.6;110;A;7100
129.900 kr.;2016;91000;2016-03-31;Benzin;21.3;90;M;9500
139.900 kr.;2016;52000;2016-03-22;Benzin;24.4;95;M;8260
199.900 kr.;2022;17000;2022-01-03;Benzin;21.6;80;M;9440
179.800 kr.;2016;56000;2015-10-19;Benzin;21.3;150;A;4700
174.800 kr.;2017;85000;2017-03-01;Benzin;21.3;150;A;9270
149.999 kr.;2017;130000;2017-03-01;Benzin;20.8;150;A;2640
164.900 kr.;2018;100000;2018-01-18;Benzin;21.7;115;M;2670
184.500 kr.;2020;51000;2019-11-26;Benzin;22.9;95;A;5260
99.990 kr.;2016;190000;2015-11-27;Diesel;29.4;90;M;6520
138.900 kr.;2017;73886;2017-01-05;Benzin;24.4;95;M;2670
149.900 kr.;2018;61000;2018-03-07;Benzin;20.8;75;M;4320
79.900 kr.;2016;195000;2015-11-14;Benzin;24.4;95;M;7160
274.700 kr.;2020;9900;2020-04-08;Benzin;19;200;A;8250
159.995 kr.;2019;38000;2019-10-18;Benzin;22.9;80;M;7400
53.000 kr.;2011;200000;2011-02-01;Diesel;29.4;75;M;6100
154.900 kr.;2018;147000;2018-02-28;Benzin;21.7;95;A;7700
