price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
99.900 kr.;2016;89900;2016-06-28;Benzin;23.3;125;M;8700
79.999 kr.;2013;102000;2013-04-16;Benzin;23.3;100;M;8361
169.500 kr.;2018;57000;2018-03-01;Benzin;19.6;140;M;2880
80.000 kr.;2013;87000;2013-06-01;Benzin;23.3;125;M;4300
70.999 kr.;2014;124000;2014-04-01;Benzin;23.3;100;M;9850
134.980 kr.;2017;51000;2017-07-31;Benzin;23.3;100;M;2750
99.800 kr.;2016;103000;2016-08-26;Benzin;23.3;125;M;4600
156.800 kr.;2019;47000;2019-08-20;Benzin;23.4;100;M;5750
169.900 kr.;2020;44000;2020-04-07;Diesel;31.4;85;M;7700
224.900 kr.;2022;2000;2022-09-26;Benzin;24.2;125;M;3000
109.995 kr.;2014;137000;2013-10-01;Benzin;16.9;182;M;2665
142.900 kr.;2018;30000;2018-09-27;Benzin;20.8;100;M;8700
149.700 kr.;2019;31500;2019-05-07;Benzin;21.6;85;M;8250
34.000 kr.;2008;149000;2008-05-16;Benzin;16.1;80;M;2625
224.000 kr.;2022;100;2022-11-24;Benzin;24.2;125;M;6950
1.998 kr.;2003;0;2003-01-01;Benzin;15.6;80;M;8450
64.900 kr.;2012;146000;2013-01-23;Benzin;17.5;96;M;4293
149.500 kr.;2019;78000;2018-10-09;Benzin;23.4;125;M;9500
184.900 kr.;2019;36000;2019-07-30;Benzin;22.4;140;M;6000
113.000 kr.;2017;79000;2017-03-01;Benzin;23.3;125;M;8723
164.900 kr.;2021;19000;2021-06-14;Benzin;24.2;125;M;4600
172.900 kr.;2019;32500;2019-04-16;Benzin;23.3;100;M;3000
89.500 kr.;2016;130000;2016-05-05;Diesel;27.8;95;M;9500
79.900 kr.;2014;85000;2013-12-18;Diesel;27;75;M;4000
109.500 kr.;2019;67000;2019-04-02;Diesel;30.3;85;M;5260
164.900 kr.;2019;69000;2019-02-20;Benzin;21.6;140;M;8600
94.900 kr.;2015;118000;2015-04-23;Benzin;23.3;125;M;7100
49.098 kr.;2014;245000;2014-06-01;Benzin;23.3;100;M;4000
90.000 kr.;2018;180000;2017-08-01;Benzin;23.3;100;M;8900
34.900 kr.;2009;208000;2009-02-26;Diesel;23.8;68;M;8620
142.900 kr.;2019;87000;2019-02-27;Benzin;22.9;100;M;8783
179.980 kr.;2018;57000;2018-12-04;Benzin;19.6;100;A;8960
62.900 kr.;2015;166000;2015-03-27;Benzin;23.3;80;M;6670
174.900 kr.;2021;9300;2021-05-11;Benzin;24.2;125;M;2200
69.900 kr.;2013;148000;2013-01-14;Benzin;23.3;100;M;2610
104.900 kr.;2017;115000;2017-04-07;Benzin;22.2;140;M;4600
59.900 kr.;2015;179000;2016-01-26;Benzin;23.3;100;M;6950
219.900 kr.;2022;2000;2022-08-29;Benzin;24.2;125;M;8240
249.000 kr.;2022;2000;2022-07-25;Benzin;22.9;125;A;8240
67.900 kr.;2014;102000;2014-01-23;Benzin;23.3;125;M;8940
159.800 kr.;2014;68000;2015-01-07;Benzin;16.9;182;M;4200
54.500 kr.;2013;181000;2013-03-11;Benzin;23.3;100;M;6000
89.900 kr.;2016;116000;2017-02-24;Benzin;23.3;125;M;3400
129.900 kr.;2016;93849;2016-03-29;Benzin;22.2;140;M;4400
219.900 kr.;2018;115000;2018-09-28;Benzin;18.3;200;M;8700
169.900 kr.;2021;5000;2021-04-21;Benzin;24.2;125;M;2200
139.700 kr.;2018;68702;2018-02-28;Benzin;23.3;100;M;9900
134.000 kr.;2018;93000;2017-09-01;Benzin;23.3;100;M;6950
99.900 kr.;2014;26000;2014-03-04;Benzin;23.3;125;M;4600
107.900 kr.;2017;78000;2017-04-06;Benzin;23.3;100;M;2860
79.900 kr.;2016;164168;2016-07-19;Diesel;27.8;95;M;7800
154.900 kr.;2020;76000;2019-11-29;Benzin;23.4;125;M;8722
139.700 kr.;2018;56564;2018-02-28;Benzin;23.3;100;M;9900
189.900 kr.;2021;32000;2021-03-31;Benzin;24.2;125;M;4300
99.900 kr.;2016;139000;2016-07-06;Benzin;22.2;140;M;6200
24.900 kr.;2009;295000;2009-02-06;Diesel;23.8;68;M;8600
79.500 kr.;2014;168000;2014-07-22;Benzin;23.3;125;M;9500
174.500 kr.;2020;98000;2020-01-28;Benzin;23.4;140;M;9500
124.900 kr.;2017;9700;2017-03-24;Benzin;23.3;125;M;2770
204.800 kr.;2022;12000;2022-03-25;Benzin;24.2;125;M;2630
109.700 kr.;2017;94000;2017-03-27;Benzin;23.3;125;M;9310
115.000 kr.;2017;77000;2016-12-01;Benzin;23.3;125;M;9750
34.800 kr.;2012;229000;2011-12-06;Diesel;24.4;70;M;9800
176.000 kr.;2021;61000;2021-04-01;Benzin;23.7;125;M;9700
129.900 kr.;2018;16000;2018-07-06;Benzin;21.6;85;M;2610
117.000 kr.;2017;71000;2017-05-22;Benzin;23.3;100;M;7000
127.000 kr.;2018;44000;2018-10-26;Diesel;28.9;85;M;7000
123.000 kr.;2017;98000;2017-10-03;Benzin;23.3;100;M;3600
204.495 kr.;2022;6500;2022-06-21;Benzin;24.2;125;M;4700
137.000 kr.;2018;44000;2018-10-17;Benzin;22.9;100;M;2630
114.990 kr.;2016;69000;2017-01-24;Benzin;23.3;125;M;6520
154.700 kr.;2019;41000;2019-08-15;Benzin;22;100;M;9700
110.000 kr.;2016;88000;2017-03-28;Benzin;23.3;100;M;5400
134.900 kr.;2018;30000;2018-10-26;Benzin;22.9;100;M;2970
219.900 kr.;2022;1500;2022-03-04;Benzin;24.2;125;M;9800
