price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
229.000 kr.;2015;119000;2015-01-01;Benzin;20;150;M;2650
159.700 kr.;2018;196000;2018-03-19;Diesel;23.3;150;M;9310
103.800 kr.;2014;193000;2014-05-09;Diesel;26.3;110;M;5500
89.700 kr.;2013;307000;2013-02-22;Diesel;23.8;150;M;9310
39.800 kr.;2007;287000;2007-09-01;Diesel;20;105;M;9500
109.700 kr.;2016;191000;2015-08-21;Diesel;29.4;110;M;9310
409.900 kr.;2021;15000;2020-12-01;Plug-in hybrid Benzin;42.4;204;A;6400
249.800 kr.;2017;54000;2017-04-06;Plug-in hybrid Benzin;33.8;204;A;4600
38.000 kr.;2009;354000;2009-07-01;Diesel;19.6;140;M;4873
91.000 kr.;2013;237000;2013-05-01;Diesel;26.3;105;M;3600
229.900 kr.;2017;43000;2017-03-14;Benzin;21.7;116;M;2860
404.900 kr.;2022;6000;2022-06-09;Benzin;20.8;150;A;2770
187.500 kr.;2016;96000;2016-12-01;Diesel;25.6;110;M;8200
159.900 kr.;2014;143000;2013-08-07;Benzin;20.8;140;M;9000
213.000 kr.;2017;80000;2017-08-02;Plug-in hybrid Benzin;33.8;204;A;8200
294.900 kr.;2020;72000;2019-11-01;Diesel;24.4;150;A;8600
359.900 kr.;2021;7000;2021-09-23;Plug-in hybrid Benzin;46.9;204;A;9000
274.900 kr.;2020;42200;2020-04-09;Plug-in hybrid Benzin;38.8;204;A;6000
24.800 kr.;2005;266000;2005-10-14;Benzin;14;102;M;8883
164.800 kr.;2017;153000;2017-01-16;Diesel;26.3;110;M;8783
50.000 kr.;2006;153000;2006-09-01;Benzin;14.1;102;M;3520
85.000 kr.;2006;242000;2006-02-01;Benzin;10.1;250;A;4654
48.900 kr.;2009;305000;2009-09-01;Diesel;23.8;105;M;7130
138.800 kr.;2013;223000;2013-04-01;Diesel;22.2;150;A;2770
184.400 kr.;2016;230000;2015-12-30;Diesel;22.2;150;A;6340
152.700 kr.;2015;159000;2014-12-08;Diesel;25;150;M;9310
219.900 kr.;2017;119000;2016-12-01;Benzin;20.4;150;A;8600
404.900 kr.;2022;8000;2022-04-07;Plug-in hybrid Benzin;42.4;204;A;2980
109.900 kr.;2012;172000;2012-05-30;Diesel;23.3;105;A;2630
244.900 kr.;2018;134000;2018-02-26;Diesel;25;116;A;4200
214.800 kr.;2017;85000;2017-03-21;Plug-in hybrid Benzin;32.1;204;A;4600
187.900 kr.;2015;129000;2015-07-15;Plug-in hybrid Benzin;32.7;204;A;8600
189.900 kr.;2016;90000;2016-04-12;Benzin;20.8;150;M;8600
169.900 kr.;2017;172000;2016-12-01;Diesel;23.8;150;M;8600
164.900 kr.;2014;75000;2013-07-25;Benzin;20.8;140;M;7250
134.400 kr.;2014;172000;2013-08-14;Diesel;26.3;105;M;6400
164.900 kr.;2018;193000;2017-08-09;Diesel;23.3;150;M;4200
110.000 kr.;2014;232000;2013-12-01;Diesel;23.8;150;M;5000
249.890 kr.;2017;62000;2017-09-07;Plug-in hybrid Benzin;35.1;204;A;4760
120.000 kr.;2015;170000;2014-08-01;Diesel;30.3;110;M;8260
109.900 kr.;2013;236000;2013-02-25;Diesel;23.8;150;M;5580
404.900 kr.;2022;5000;2022-06-20;Benzin;20.8;150;A;2770
79.900 kr.;2012;210000;2012-05-04;Diesel;22.7;90;M;8600
265.000 kr.;2018;55000;2017-10-05;Benzin;20;150;A;8200
69.900 kr.;2010;219000;2010-03-23;Diesel;22.7;140;M;5500
299.900 kr.;2019;63000;2019-03-12;Benzin;21.6;150;A;2770
334.500 kr.;2021;25000;2020-12-01;Plug-in hybrid Benzin;46.9;204;A;6200
279.900 kr.;2019;35000;2019-03-07;Benzin;20;150;M;2770
122.000 kr.;2014;2021000;2020-09-01;Diesel;26.3;105;M;9640
123.000 kr.;2014;156000;2014-02-01;Diesel;26.3;110;M;8660
179.800 kr.;2017;175000;2016-12-07;Diesel;23.8;150;M;8600
314.900 kr.;2019;17000;2019-02-26;Benzin;18;190;A;8240
214.900 kr.;2018;91000;2017-08-04;Benzin;20;150;A;7100
129.900 kr.;2015;148000;2015-03-10;Diesel;26.3;105;M;7100
384.900 kr.;2019;45000;2019-04-16;Benzin;21.1;150;A;2770
21.900 kr.;1999;295000;1999-02-10;Diesel;16.1;90;A;8600
229.700 kr.;2015;193000;2014-10-05;Benzin;17.2;180;A;4300
214.900 kr.;2017;136000;2017-03-23;Benzin;21.3;150;M;4300
279.900 kr.;2018;56000;2017-07-17;Benzin;20;150;A;8600
189.700 kr.;2017;156000;2018-02-15;Diesel;22.7;150;A;7400
209.900 kr.;2017;78000;2016-12-21;Diesel;23.8;150;M;6100
249.900 kr.;2018;54000;2018-09-13;Diesel;25;116;A;5500
144.900 kr.;2013;156000;2013-06-10;Benzin;20.8;140;M;9381
419.900 kr.;2019;54000;2019-05-21;Benzin;21.1;150;A;8250
129.700 kr.;2013;199000;2013-05-17;Diesel;22.2;150;A;9310
299.800 kr.;2015;90000;2015-11-05;Diesel;24.4;110;M;9900
304.500 kr.;2018;108000;2018-01-01;Benzin;16.9;190;A;2000
444.900 kr.;2019;21500;2019-07-22;Benzin;21.1;150;A;8250
439.900 kr.;2021;22000;2021-03-04;Plug-in hybrid Benzin;42.5;245;A;8240
274.800 kr.;2020;26000;2020-03-13;Plug-in hybrid Benzin;38.8;204;A;6760
184.900 kr.;2015;133000;2015-06-05;Plug-in hybrid Benzin;32.7;204;A;2880
179.000 kr.;2018;78000;2017-10-01;Diesel;25;116;M;4632
419.500 kr.;2021;14000;2021-01-20;Plug-in hybrid Benzin;42.4;204;A;7120
