price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
44.500 kr.;2012;203000;2012-03-27;Benzin;24.4;60;M
119.900 kr.;2019;47000;2019-02-06;Benzin;24.4;60;M
127.800 kr.;2020;23000;2020-02-12;Benzin;25;60;M
119.800 kr.;2020;39000;2019-10-23;Benzin;25;60;M
56.900 kr.;2014;105000;2013-11-26;Benzin;22.2;60;M
59.800 kr.;2013;161000;2013-01-28;Benzin;22.2;60;M
109.900 kr.;2018;35000;2017-10-19;Benzin;24.4;60;M
72.900 kr.;2014;123000;2014-08-11;Benzin;23.8;75;M
64.900 kr.;2014;157000;2014-05-08;Benzin;24.4;60;M
79.990 kr.;2016;70000;2015-07-16;Benzin;24.4;60;M
56.900 kr.;2013;158000;2012-09-12;Benzin;23.8;75;M
49.700 kr.;2014;218000;2014-04-21;Benzin;22.2;60;M
43.900 kr.;2012;171000;2012-02-06;Benzin;21.3;75;M
59.900 kr.;2014;167000;2014-06-16;Benzin;24.4;60;M
68.500 kr.;2014;130000;2014-04-02;Benzin;24.4;60;M
138.999 kr.;2020;25900;2020-06-10;Benzin;25;60;M
124.900 kr.;2019;29000;2019-02-28;Benzin;26.2;60;M
69.900 kr.;2015;133000;2015-09-14;Benzin;22.2;60;M
74.900 kr.;2016;66000;2016-05-20;Benzin;24.4;60;M
129.800 kr.;2018;34000;2017-04-27;Benzin;24.4;60;A
104.900 kr.;2018;124000;2018-04-05;Benzin;22.7;90;M
85.500 kr.;2016;99000;2015-12-16;Benzin;23.8;75;M
64.900 kr.;2012;143000;2012-05-10;Benzin;23.8;75;M
94.900 kr.;2016;113000;2016-01-19;Benzin;23.8;75;M
52.900 kr.;2013;177000;2013-05-07;Benzin;24.4;60;M
119.800 kr.;2019;45000;2019-02-20;Benzin;26.2;60;M
136.500 kr.;2018;5000;2018-06-06;Benzin;24.4;75;M
79.800 kr.;2016;109000;2015-10-28;Benzin;24.4;60;M
89.900 kr.;2016;67000;2016-01-01;Benzin;24.4;60;M
99.800 kr.;2019;91000;2019-05-29;Benzin;26.2;60;M
99.900 kr.;2018;76000;2018-01-04;Benzin;24.4;60;M
49.900 kr.;2013;142000;2013-03-21;Benzin;24.4;60;M
79.900 kr.;2017;79000;2016-10-19;Benzin;24.4;60;M
48.500 kr.;2014;167000;2014-04-30;Benzin;24.4;60;M
43.900 kr.;2013;229000;2013-01-01;Benzin;23.8;75;M
129.000 kr.;2020;46000;2020-06-10;Benzin;26.2;60;M
139.000 kr.;2019;9000;2019-07-05;Benzin;26.2;60;M
119.900 kr.;2020;49000;2020-01-01;Benzin;25;60;M
114.800 kr.;2017;80000;2017-08-02;Benzin;22.7;90;M
79.900 kr.;2014;117000;2014-05-14;Benzin;24.4;60;M
63.900 kr.;2014;166000;2013-09-06;Benzin;23.8;75;M
68.999 kr.;2014;83000;2014-06-04;Benzin;24.4;60;M
94.900 kr.;2016;66000;2016-01-01;Benzin;24.4;60;M
64.900 kr.;2015;151000;2015-04-08;Benzin;24.4;60;M
116.980 kr.;2019;58000;2019-05-23;Benzin;26.2;60;M
79.980 kr.;2013;65000;2013-04-11;Benzin;23.8;75;M
89.900 kr.;2018;56000;2017-12-08;Benzin;24.4;60;M
114.900 kr.;2017;95000;2016-11-24;Benzin;22.7;90;M
79.900 kr.;2013;98000;2013-03-26;Benzin;23.8;75;M
64.800 kr.;2015;159000;2014-09-09;Benzin;24.4;60;M
74.900 kr.;2015;85000;2015-03-25;Benzin;24.4;60;M
46.900 kr.;2013;186000;2012-07-24;Benzin;21.3;75;M
54.800 kr.;2013;200000;2013-02-14;Benzin;23.8;75;M
137.900 kr.;2021;34000;2021-01-04;Benzin;23.7;65;M
59.900 kr.;2014;158000;2014-06-25;Benzin;24.4;60;M
66.900 kr.;2015;143000;2015-04-27;Benzin;22.2;60;M
119.700 kr.;2019;53000;2019-07-03;Benzin;26.2;60;M
74.800 kr.;2015;116000;2015-03-23;Benzin;24.4;60;M
59.900 kr.;2014;150000;2013-08-05;Benzin;23.8;75;M
126.800 kr.;2019;21900;2019-07-18;Benzin;26.2;60;M
72.900 kr.;2016;161943;2015-06-26;Benzin;23.8;75;M
109.900 kr.;2020;53000;2019-11-19;Benzin;25;60;M
89.900 kr.;2016;83000;2016-05-11;Benzin;24.4;60;M
60.000 kr.;2013;141000;2013-02-21;Benzin;23.8;75;M
84.800 kr.;2016;90000;2016-01-22;Benzin;24.4;60;M
98.900 kr.;2017;60000;2017-03-29;Benzin;24.4;60;M
79.900 kr.;2014;78000;2014-08-08;Benzin;24.4;60;M
79.800 kr.;2017;89000;2016-08-15;Benzin;24.4;60;M
74.900 kr.;2017;129000;2017-01-23;Benzin;24.4;60;M
59.700 kr.;2016;163700;2015-12-21;Benzin;24.4;60;M
71.900 kr.;2016;164000;2016-01-02;Benzin;24.4;60;M
79.900 kr.;2017;139000;2016-08-15;Benzin;24.4;60;M
65.000 kr.;2014;121000;2013-12-17;Benzin;23.8;75;M
139.900 kr.;2021;26000;2020-12-17;Benzin;25;65;M
92.800 kr.;2019;120000;2019-03-26;Benzin;26.2;60;M
54.999 kr.;2013;206000;2013-06-25;Benzin;24.4;60;M
58.800 kr.;2013;127000;2013-03-15;Benzin;24.4;60;M
64.900 kr.;2016;174000;2016-02-02;Benzin;24.4;60;M
119.900 kr.;2017;72000;2017-05-10;Benzin;22.7;90;M
84.900 kr.;2018;179000;2018-01-31;Benzin;24.4;60;M
64.900 kr.;2013;145000;2013-04-15;Benzin;22.2;60;M
99.500 kr.;2018;100000;2018-03-06;Benzin;24.4;75;M
49.900 kr.;2012;195000;2012-05-30;Benzin;22.2;60;M
54.900 kr.;2013;151000;2013-04-10;Benzin;24.4;60;M
137.900 kr.;2021;32000;2021-01-02;Benzin;23.7;65;M
97.900 kr.;2016;63000;2016-02-23;Benzin;24.4;60;M
79.900 kr.;2017;92000;2016-09-08;Benzin;24.4;60;M
79.900 kr.;2017;160000;2017-01-24;Benzin;24.4;60;M
59.900 kr.;2014;152000;2014-06-25;Benzin;24.4;60;M
44.900 kr.;2014;163000;2014-04-04;Benzin;24.4;60;M
59.800 kr.;2014;154000;2014-05-14;Benzin;24.4;60;M
